Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.148308470536245,0.0606329921209263,-0.126960040684325,0,0,0,0.918124750199342,0.000663823174590489,9.47018014430197E-06,2.17984498984151E-05,0.00149589820415092,-5.00887750584968E-06,0.00182051262498479,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/base_link.STL,,Parachoque delantero-1;Vehiculo_2_URDF-1/Eslabon medio LLantas_Traseras-2;Vehiculo_2_URDF-1/Eslabon superior LLantas-1;Vehiculo_2_URDF-1/Eslabon medio LLantas_Traseras-1;Vehiculo_2_URDF-1/Eslabon superior LLantas-2;Vehiculo_2_URDF-1/Eslabon inferior LLantas-2;Vehiculo_2_URDF-1/Eslabon inferior LLantas traseras-1;Vehiculo_2_URDF-1/Eslabon inferior LLantas traseras-2;Vehiculo_2_URDF-1/Base conectora resorte-2;Vehiculo_2_URDF-1/Eslabon superior LLantas traseras-1;Vehiculo_2_URDF-1/Base conectora resorte-1;Vehiculo_2_URDF-1/Eslabon inferior LLantas-1;Vehiculo_2_URDF-1/Eslabon superior LLantas traseras-2;Vehiculo_2_URDF-1/Gearbox-2;Vehiculo_2_URDF-1/Base-1;Vehiculo_2_URDF-1/Gearbox-1;Parachoque trasero-1;Base nueva-1/Camera-2;Base nueva-1/Expansion board-2;Base nueva-1/Camera-1;Base nueva-1/Base original-1;Base nueva-1/Jetson nano 4GB-1;Base nueva-1/Intel Realsense D435-2;Base nueva-1/Soporte LIDAR-1;Base nueva-1/USB expansion board-2;Base nueva-1/LOGO-1;Base nueva-1/pieza lateral derecha-5;Base nueva-1/pieza lateral izquierda-5;Base nueva-1/Soporte Jetson-1;Base nueva-1/Lidar-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
back_wheel_left,1.1102E-16,-0.0055555,3.6969E-08,0,0,0,0.038543,1.5832E-05,-1.9172E-21,2.1838E-21,2.7611E-05,-7.8379E-11,1.5832E-05,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/back_wheel_left.STL,0.50196,0,0,1,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/back_wheel_left.STL,,Vehiculo_2_URDF-1/Llanta_completa-2,Origin_joint-back_wheel_left,,joint_back_wheel_left,continuous,-0.26164,0.16927,0.14674,1.5873,0.014976,0.0079603,base_link,0,1,0,100,100,,,,,0.1,0.1,,,,
back_wheel_right,5.5511E-17,0.0055555,3.6691E-08,0,0,0,0.038543,1.5832E-05,-5.5773E-21,1.8396E-21,2.7611E-05,7.7791E-11,1.5832E-05,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/back_wheel_right.STL,0.50196,0,0,1,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/back_wheel_right.STL,,Vehiculo_2_URDF-1/Llanta_completa-1,Origin_joint-back_wheel_right,,joint_back_wheel_right,continuous,-0.26415,0.17198,-0.019177,1.5873,0.014976,0.0079603,base_link,0,1,0,100,100,,,,,0.1,0.1,,,,
front_handle_left,-0.003022,0.0098208,-0.010918,0,0,0,0.0035804,2.2725E-07,-8.8041E-08,-2.6452E-13,3.3018E-07,7.2923E-14,3.6051E-07,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_handle_left.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_handle_left.STL,,Vehiculo_2_URDF-1/Eslabon medio LLantas-1,Origin_joint-front_handle_left,,joint_front_handle_left,revolute,-0.0029527,0.15521,0.11611,1.5873,0.014976,0.0079603,base_link,0,0,1,100,100,0,0,,,0.1,0.1,,,,
front_wheel_left,1.648E-17,-0.0064834,2.498E-16,0,0,0,0.063174,3.6075E-05,-7.3809E-21,-3.1764E-22,6.2912E-05,3.9705E-21,3.6075E-05,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_wheel_left.STL,0.50196,0,0,1,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_wheel_left.STL,,Vehiculo_2_URDF-1/Llanta_completa_grande-2,Origin_joint-front_wheel_left,,joint_front_wheel_left,continuous,0,0.026485,-0.010918,0,0,0,front_handle_left,0,1,0,100,100,,,,,0.1,0.1,,,,
front_handle_right,-0.0030221,-0.0098209,-0.010918,0,0,0,0.0035804,2.2725E-07,8.8041E-08,2.8912E-13,3.3018E-07,1.2676E-13,3.6051E-07,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_handle_right.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_handle_right.STL,,Vehiculo_2_URDF-1/Eslabon medio LLantas-2,Origin_joint_front_handle_right,,joint_front_handle_right,revolute,-0.0046594,0.15706,0.003143,1.5873,0.014976,0.0079603,base_link,0,0,1,100,100,0,0,,,0.1,0.1,,,,
front_wheel_right,1.3444E-17,0.0064834,2.2204E-16,0,0,0,0.063174,3.6075E-05,-9.3678E-22,-1.9852E-21,6.2912E-05,1.4823E-21,3.6075E-05,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_wheel_right.STL,0.50196,0,0,1,0,0,0,0,0,0,package://Vehiculo_URDF/meshes/front_wheel_right.STL,,Vehiculo_2_URDF-1/Llanta_completa_grande-1,Origin_joint-front_wheel_right,,joint_front_wheel_right,continuous,0,-0.026485,-0.010918,0,0,0,front_handle_right,0,1,0,0.1,0.1,,,,,0.1,0.1,,,,
